TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
199003,25.471,24.309,0.884,26.555,1.968,153.698,421.071,3.107,98.722,11.121,1.004
199004,25.767,24.658,1.015,26.788,2.071,151.028,422.982,3.262,98.677,11.267,0.913
199005,25.248,24.229,1.022,26.186,1.972,140.015,418.237,3.385,98.82,9.09,1.068
199006,24.421,23.528,0.821,25.285,1.755,113.51,417.844,1.899,98.992,10.278,0.816
199007,23.934,22.845,1.214,25.022,2.084,135.743,410.216,3.204,99.079,6.548,1.159
199008,24.713,23.429,1.073,25.972,2.343,158.503,414.043,3.167,99.0,5.702,0.841
199009,24.957,23.594,1.251,26.211,2.432,173.573,413.786,3.758,98.874,6.097,1.049
199010,25.867,24.546,0.958,27.081,2.21,176.862,421.499,3.552,98.688,6.792,0.887
199011,25.481,24.236,0.81,26.627,2.081,170.545,420.784,3.24,98.65,8.715,0.861
199012,25.493,24.229,0.833,26.641,1.873,158.537,419.127,3.256,98.636,9.304,1.02
199101,26.134,24.82,1.054,27.265,2.177,173.452,418.912,4.749,98.657,7.618,1.312
199102,25.984,24.729,1.017,27.138,2.117,170.418,420.857,4.014,98.704,8.574,1.104
199103,25.727,24.542,0.945,26.833,2.037,149.021,422.654,3.561,98.637,8.695,1.129
199104,25.459,24.443,0.92,26.394,2.0,134.897,421.049,3.029,98.726,10.284,1.027
199105,25.315,24.26,0.901,26.286,1.932,130.453,421.66,2.62,98.791,10.079,0.813
199106,24.681,23.608,0.958,25.721,1.866,122.859,417.913,2.623,98.935,8.127,1.03
199107,24.524,23.33,1.098,25.718,2.134,143.105,411.34,3.014,99.053,5.977,0.954
199108,24.313,23.106,1.248,25.496,2.243,155.12,411.901,3.078,99.094,5.43,0.981
199109,25.241,23.964,1.084,26.415,2.357,167.499,416.997,3.262,98.833,7.655,0.894
199110,25.323,24.087,1.182,26.46,2.266,170.982,415.501,3.649,98.743,7.317,1.001
199111,25.489,24.204,0.92,26.67,2.092,161.959,418.913,3.229,98.595,8.201,0.898
199112,25.846,24.466,0.995,27.101,2.205,159.76,419.317,3.806,98.542,10.336,1.135
199201,26.357,25.029,1.262,27.506,2.403,182.937,418.817,4.885,98.597,6.524,1.006
199202,26.048,24.805,1.226,27.191,2.119,157.932,422.468,4.204,98.618,9.203,1.096
199203,25.775,24.695,1.213,26.784,2.029,150.013,424.447,3.523,98.637,12.422,1.076
199204,25.854,24.731,1.224,26.888,2.067,143.846,423.839,3.48,98.62,10.484,0.99
199205,26.123,24.882,1.156,27.264,2.178,152.817,420.921,3.837,98.656,8.776,0.945
199206,24.981,23.823,1.095,26.105,1.974,134.883,416.149,2.75,98.87,7.388,0.789
199207,23.897,22.79,1.226,25.003,2.088,138.463,407.572,2.872,99.117,4.847,1.067
199208,24.537,23.305,1.316,25.735,2.251,146.931,413.732,2.922,99.03,7.429,0.882
199209,24.862,23.591,1.069,26.031,2.181,157.858,415.757,2.966,98.758,8.724,0.853
199210,25.336,23.966,1.072,26.597,2.227,178.678,417.094,3.509,98.73,6.674,0.855
199211,25.358,24.013,1.023,26.596,2.095,170.182,416.14,3.496,98.571,7.908,1.014
