TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
19810410,25.88,24.914,1.745,26.769,1.943,153.446,426.397,3.183,98.544,9.876,0.744
19810411,25.184,24.463,0.585,25.846,2.091,136.947,424.641,2.735,98.532,13.835,0.744
19810412,25.403,24.46,0.88,26.27,1.52,133.253,424.219,1.877,98.55,12.549,0.828
19810413,24.883,24.279,1.121,25.439,1.627,168.23,424.708,2.711,98.597,3.777,0.829
19810414,25.141,24.071,0.781,26.127,1.73,148.975,420.171,2.622,98.648,8.818,0.731
19810415,26.124,24.5,0.943,27.618,2.715,137.163,422.111,3.879,98.683,15.615,1.018
19810416,25.696,24.684,1.065,26.627,1.627,101.829,421.76,2.439,98.711,18.4,1.152
19810417,24.509,23.844,0.452,25.12,0.921,127.026,419.219,1.443,98.772,22.974,1.311
19810418,24.177,23.557,0.65,24.748,1.552,113.368,420.539,1.567,98.805,8.304,0.78
19810419,24.908,23.935,1.095,25.803,1.559,120.1,419.858,1.727,98.733,15.718,0.971
19810420,25.959,24.65,1.126,27.163,2.359,155.857,423.561,3.639,98.697,6.214,0.949
19810421,25.337,24.374,0.59,26.224,1.472,113.44,416.635,2.083,98.781,18.008,1.026
19810422,25.255,24.309,1.037,26.125,1.737,130.913,426.471,2.682,98.729,8.246,0.716
19810423,26.175,24.819,1.306,27.423,2.197,179.475,421.043,3.777,98.516,3.826,1.08
19810424,27.18,25.191,1.592,29.01,2.76,168.369,419.482,5.62,98.396,11.395,1.234
19810425,25.184,24.065,1.052,26.214,1.705,119.838,421.418,2.356,98.572,5.381,1.188
19810426,24.878,24.015,1.107,25.671,1.702,149.355,425.67,2.261,98.713,6.531,0.726
19810427,26.374,24.531,1.21,28.07,2.871,163.15,424.11,4.614,98.602,2.498,0.699
19810428,26.847,24.792,1.542,28.737,3.149,201.104,423.251,5.267,98.559,13.418,1.298
19810429,25.629,24.333,0.613,26.822,1.657,174.746,419.628,3.212,98.697,8.216,1.18
19810430,25.303,24.163,0.829,26.352,1.864,110.004,423.077,2.987,98.744,3.926,1.219
19810501,25.451,24.122,1.23,26.673,2.239,141.527,416.501,3.361,98.648,5.741,1.078
19810502,26.164,24.561,1.349,27.638,2.49,177.24,419.056,4.001,98.548,2.544,0.555
19810503,26.395,24.854,1.476,27.813,2.559,162.527,421.726,3.965,98.517,1.372,0.74
19810504,25.487,24.491,0.391,26.403,1.578,134.165,419.696,1.877,98.621,16.945,0.92
19810505,24.759,24.114,0.733,25.353,1.448,131.233,417.799,1.975,98.708,19.77,0.708
19810506,25.44,24.52,1.493,26.287,1.599,139.083,418.573,3.374,98.751,7.453,0.786
19810507,26.474,24.906,1.748,27.916,2.527,156.717,421.109,5.495,98.76,9.051,1.021
19810508,24.972,24.036,0.861,25.832,1.73,123.106,419.923,2.257,98.791,5.853,1.024
19810509,26.165,25.011,1.353,27.227,2.103,182.222,421.054,3.671,98.673,2.133,0.931
19810510,26.107,24.599,0.733,27.494,1.887,179.206,416.892,4.108,98.629,3.86,1.281
19810511,25.874,24.692,1.074,26.962,2.242,123.04,418.723,3.232,98.673,13.106,0.895
19810512,25.578,24.546,1.292,26.528,1.794,104.435,417.882,2.226,98.71,19.282,0.791
19810513,26.078,24.641,1.312,27.4,2.15,184.134,418.672,4.295,98.607,4.241,0.952
19810514,25.726,24.262,0.456,27.074,1.919,152.362,419.038,2.734,98.522,8.425,0.836
19810515,25.626,24.314,0.898,26.833,1.769,144.105,415.074,2.476,98.622,17.201,0.755
19810516,24.967,24.096,0.94,25.767,1.222,111.117,419.214,2.021,98.769,21.496,1.04
19810517,23.665,23.333,0.532,23.969,0.672,93.445,421.319,0.634,98.914,11.506,0.768
19810518,25.561,24.223,1.663,26.793,2.348,139.627,418.886,2.345,98.802,8.205,0.41
19810519,26.419,24.896,1.615,27.82,2.688,183.423,422.051,4.299,98.795,0.368,0.662
19810520,26.319,24.833,0.871,27.687,2.572,156.346,419.224,3.848,98.911,8.15,1.163
19810521,24.019,23.575,0.327,24.427,1.045,85.457,426.736,0.865,98.99,22.732,1.058
19810522,24.617,23.815,0.8,25.355,1.704,128.737,420.091,1.881,98.895,8.026,0.92
19810523,25.834,24.294,1.235,27.252,1.635,126.454,422.349,3.033,98.828,8.207,0.748
19810524,25.613,24.319,0.646,26.803,1.628,140.356,418.578,2.427,98.823,11.533,0.832
19810525,25.074,24.171,0.559,25.904,1.322,116.707,419.559,1.747,98.856,10.719,0.7
19810526,25.037,23.63,0.744,26.331,1.978,110.986,424.999,1.957,98.919,11.613,0.463
19810527,25.301,23.937,1.693,26.556,2.362,146.316,415.83,3.043,98.875,10.336,0.464
19810528,25.725,24.548,1.172,26.808,2.045,121.843,416.523,2.745,98.865,11.422,0.585
19810529,25.621,24.277,0.953,26.857,2.096,144.678,419.198,3.095,98.868,7.336,0.747
19810530,25.444,24.453,1.095,26.355,1.609,117.438,419.663,2.767,98.808,8.57,0.88
19810531,25.814,24.108,0.953,27.384,2.584,158.821,417.252,3.815,98.724,1.737,0.66
19810601,25.987,24.577,1.239,27.285,2.475,139.088,417.704,3.232,98.648,6.063,0.91
19810602,25.285,24.337,1.076,26.157,1.858,138.411,419.034,1.824,98.659,12.587,0.877
19810603,25.665,24.477,1.121,26.758,1.567,103.47,419.374,1.864,98.735,14.791,0.895
19810604,25.2,24.014,1.232,26.291,2.058,89.057,425.413,2.838,98.807,3.621,0.638
19810605,25.272,24.302,0.885,26.165,1.71,126.528,415.755,2.441,98.789,11.252,0.771
19810606,25.547,24.18,1.237,26.804,2.285,139.212,421.58,3.215,98.724,0.893,0.473
19810607,24.574,23.877,0.343,25.215,1.032,113.971,420.016,1.169,98.807,22.465,0.845
19810608,24.033,23.378,0.564,24.635,1.435,86.491,423.419,1.23,98.998,13.127,1.828
